# Monte Carlo Risk Analyzer – Results Export
# Generated  : 2026.05.05 20:19:19
# Input file : trades.csv
# Simulations: 1000
# Trades     : 1477
# Init Equity: $5000.00
# Commission : disabled
#
Step,P5_Equity,P25_Equity,P50_Equity,P75_Equity,P95_Equity
32,4717.26,4956.00,5125.55,5285.34,5457.43
33,4710.28,4939.40,5119.82,5271.27,5479.98
34,4719.31,4957.39,5127.15,5289.57,5482.67
35,4693.50,4947.33,5125.00,5303.83,5496.00
36,4697.60,4957.72,5128.80,5298.28,5518.69
37,4700.39,4948.01,5129.88,5307.97,5529.85
38,4697.72,4962.58,5127.66,5297.95,5527.89
39,4688.32,4946.50,5145.97,5316.08,5549.59
40,4696.40,4963.55,5133.90,5321.50,5541.90
41,4684.44,4956.79,5146.83,5325.74,5567.27
42,4697.66,4967.06,5136.63,5327.81,5554.50
43,4689.10,4959.42,5158.16,5334.65,5571.34
44,4678.05,4966.45,5154.72,5341.72,5589.73
45,4687.78,4983.58,5156.83,5333.79,5602.89
46,4695.22,4968.19,5154.73,5345.10,5607.82
47,4681.87,4970.89,5157.67,5344.28,5619.93
48,4687.14,4967.62,5169.97,5354.43,5621.62
49,4677.54,4983.61,5161.50,5362.71,5630.27
50,4682.93,4969.89,5163.58,5358.16,5621.55
51,4666.37,4980.76,5158.50,5377.73,5644.47
52,4662.09,4968.90,5169.79,5372.12,5641.37
53,4656.92,4975.54,5168.72,5379.93,5646.61
54,4651.29,4969.94,5178.33,5390.72,5668.31
55,4656.25,4979.95,5167.83,5381.81,5660.15
56,4648.42,4969.93,5178.32,5384.90,5682.50
57,4652.46,4978.54,5178.64,5392.72,5710.83
58,4643.46,4969.18,5186.43,5411.41,5702.53
59,4647.89,4978.76,5193.59,5404.10,5716.38
60,4640.04,4976.79,5194.96,5410.58,5735.41
61,4663.99,4986.52,5200.98,5419.41,5748.78
62,4631.48,4988.29,5203.73,5424.67,5751.76
63,4659.47,4984.99,5206.40,5429.85,5767.03
64,4667.96,4998.84,5212.48,5439.67,5751.99
65,4668.62,4993.86,5211.96,5443.23,5759.17
66,4672.15,5001.97,5211.99,5454.62,5761.33
67,4663.03,4998.44,5219.80,5445.93,5767.24
68,4646.86,5009.57,5228.13,5459.32,5771.21
69,4651.75,5012.13,5226.23,5459.78,5784.13
70,4665.18,5013.07,5239.60,5462.72,5778.21
71,4665.24,5008.28,5230.50,5472.19,5795.40
72,4661.57,5011.14,5239.15,5481.06,5825.79
73,4658.79,5010.32,5236.72,5497.28,5812.62
74,4664.70,5021.60,5247.93,5484.17,5827.51
75,4646.03,5036.99,5251.80,5486.80,5838.40
76,4664.14,5026.49,5254.68,5493.74,5850.38
77,4645.27,5034.74,5261.12,5509.82,5857.74
78,4667.06,5041.97,5266.49,5511.75,5874.93
79,4645.05,5038.44,5268.32,5519.50,5868.21
80,4663.89,5045.55,5273.84,5508.89,5867.41
81,4643.41,5035.25,5279.12,5521.70,5885.64
82,4656.83,5042.01,5285.95,5525.81,5896.71
83,4647.26,5036.61,5293.79,5532.29,5881.72
84,4653.35,5046.27,5287.43,5549.72,5882.19
85,4662.00,5036.62,5287.32,5549.44,5882.19
86,4678.90,5040.93,5298.30,5565.58,5891.10
87,4691.68,5046.26,5304.69,5557.60,5893.99
88,4690.25,5052.33,5303.50,5564.08,5906.03
89,4689.18,5055.44,5306.56,5566.59,5903.75
90,4698.13,5060.18,5311.39,5567.29,5940.40
91,4695.35,5056.97,5314.98,5582.01,5929.45
92,4697.43,5058.93,5317.71,5575.11,5938.66
93,4691.33,5052.99,5315.75,5592.75,5971.97
94,4698.48,5064.03,5326.58,5597.42,5975.87
95,4689.81,5071.50,5324.47,5596.03,6000.18
96,4700.20,5075.13,5328.53,5612.86,5988.30
97,4674.57,5081.51,5327.48,5603.31,6000.28
98,4699.78,5090.58,5333.71,5608.38,5995.57
99,4677.69,5082.34,5351.18,5615.81,6006.59
100,4683.17,5091.05,5343.90,5618.28,6022.73
101,4672.85,5101.94,5349.53,5627.12,6028.33
102,4678.05,5101.10,5349.41,5628.99,6029.86
103,4677.09,5099.63,5367.20,5632.64,6056.40
104,4669.02,5108.05,5364.80,5635.58,6065.52
105,4673.38,5109.94,5372.72,5648.12,6073.81
106,4667.42,5106.28,5378.44,5652.31,6076.26
107,4663.90,5115.23,5383.44,5652.68,6081.97
108,4674.47,5116.69,5385.73,5660.78,6105.76
109,4667.81,5116.36,5400.73,5665.53,6111.82
110,4671.44,5118.02,5399.74,5662.61,6128.74
111,4682.31,5119.19,5400.88,5666.39,6126.28
112,4676.79,5118.98,5407.17,5668.86,6129.01
113,4678.47,5111.18,5411.15,5679.22,6152.80
114,4670.33,5115.08,5414.52,5667.10,6167.33
115,4696.20,5110.03,5411.91,5679.85,6149.16
116,4677.01,5112.10,5428.31,5691.69,6159.26
117,4675.17,5119.88,5431.15,5696.73,6166.83
118,4672.87,5122.74,5427.40,5698.43,6169.73
119,4674.44,5125.90,5433.60,5715.99,6178.29
120,4676.74,5123.93,5429.87,5709.02,6179.23
121,4695.44,5130.77,5435.67,5721.04,6177.22
122,4688.31,5122.18,5437.92,5724.32,6188.22
123,4689.53,5128.38,5435.78,5725.06,6187.18
124,4683.87,5121.75,5439.89,5728.47,6198.83
125,4703.54,5128.42,5449.15,5729.67,6210.00
126,4682.32,5136.98,5461.50,5738.33,6207.98
127,4702.53,5141.86,5456.45,5754.67,6225.31
128,4681.26,5153.23,5460.82,5761.45,6223.36
129,4699.95,5150.62,5462.65,5773.22,6231.74
130,4693.23,5153.32,5462.85,5774.24,6242.22
131,4691.09,5159.57,5473.06,5776.15,6259.36
132,4720.92,5148.26,5478.77,5783.29,6258.73
133,4714.05,5149.40,5480.32,5782.84,6257.90
134,4727.38,5167.23,5480.20,5786.82,6253.43
135,4705.89,5158.21,5482.28,5793.31,6261.13
136,4726.37,5168.69,5491.02,5801.64,6262.81
137,4698.08,5168.69,5501.07,5810.36,6276.71
138,4711.50,5181.31,5496.41,5804.19,6293.23
139,4693.46,5196.67,5502.47,5810.99,6297.65
140,4685.53,5192.15,5510.67,5815.28,6302.03
141,4691.50,5205.72,5517.87,5813.12,6322.32
142,4699.26,5201.35,5511.68,5825.31,6305.49
143,4693.22,5198.41,5515.91,5826.94,6285.09
144,4706.00,5207.10,5521.39,5835.53,6303.45
145,4696.08,5204.78,5531.55,5840.17,6310.48
146,4673.81,5207.31,5523.47,5841.15,6329.89
147,4696.65,5207.66,5530.87,5859.58,6326.97
148,4696.87,5216.47,5541.26,5853.75,6321.34
149,4693.72,5214.96,5550.26,5871.95,6327.68
150,4688.96,5222.35,5553.10,5862.42,6357.22
151,4708.78,5218.34,5555.74,5879.91,6367.84
152,4718.14,5238.09,5558.47,5873.51,6363.50
153,4709.00,5225.17,5564.90,5878.36,6381.39
154,4716.59,5236.94,5557.63,5884.20,6373.76
155,4721.19,5247.30,5561.71,5886.30,6405.23
156,4719.16,5248.15,5569.67,5899.80,6410.08
157,4725.88,5241.10,5572.50,5912.05,6402.14
158,4714.76,5253.36,5570.79,5904.98,6400.44
159,4718.26,5252.80,5587.43,5916.25,6433.19
160,4711.67,5253.32,5578.67,5916.78,6425.89
161,4719.86,5247.43,5578.96,5914.69,6437.85
162,4708.35,5254.76,5582.18,5918.22,6430.94
163,4714.73,5244.72,5585.04,5935.25,6457.12
164,4728.07,5254.38,5598.36,5926.44,6471.79
165,4715.67,5249.27,5600.88,5934.77,6469.03
166,4734.19,5263.56,5607.32,5939.16,6474.68
167,4735.44,5262.84,5604.72,5936.51,6471.98
168,4733.11,5260.46,5611.37,5949.62,6485.89
169,4733.70,5261.20,5616.78,5950.39,6474.79
170,4745.62,5257.82,5620.69,5956.27,6497.01
171,4721.49,5272.63,5634.69,5954.94,6482.84
172,4719.29,5271.02,5632.34,5973.94,6501.94
173,4737.86,5271.45,5640.24,5962.33,6476.83
174,4731.76,5289.67,5646.95,5974.56,6486.23
175,4736.82,5289.87,5644.54,5967.65,6477.20
176,4731.12,5300.24,5665.43,5972.82,6490.28
177,4722.25,5292.59,5651.83,5987.04,6501.92
178,4727.67,5300.38,5668.20,5976.59,6510.47
179,4731.55,5296.94,5653.76,5988.14,6506.67
180,4702.46,5310.55,5671.45,5976.61,6512.34
181,4704.61,5307.75,5672.07,5990.93,6520.54
182,4719.96,5318.87,5668.94,5994.21,6541.94
183,4701.65,5312.39,5672.27,6000.62,6548.77
184,4665.04,5314.71,5680.85,6013.33,6557.85
185,4693.16,5311.13,5679.77,6010.48,6578.24
186,4690.50,5311.81,5687.65,6018.80,6569.42
187,4701.72,5309.04,5677.76,6006.98,6586.14
188,4690.91,5313.36,5677.09,6022.09,6593.68
189,4669.05,5315.86,5685.38,6034.45,6608.86
190,4665.71,5315.35,5700.87,6038.32,6604.62
191,4681.28,5312.74,5694.99,6045.74,6626.79
192,4682.27,5314.18,5700.47,6044.27,6642.49
193,4705.16,5320.90,5711.39,6049.96,6633.17
194,4699.25,5334.05,5713.54,6066.90,6638.78
195,4702.72,5335.89,5728.26,6080.00,6623.82
196,4700.74,5342.09,5733.21,6079.32,6628.18
197,4726.15,5348.76,5729.08,6092.23,6614.71
198,4698.78,5342.43,5740.45,6084.56,6625.47
199,4721.38,5345.15,5739.68,6082.18,6660.89
200,4697.96,5347.17,5744.72,6086.51,6635.80
201,4717.58,5344.53,5738.01,6101.55,6662.60
202,4724.00,5356.40,5745.88,6111.33,6647.88
203,4717.95,5366.44,5742.11,6113.38,6671.23
204,4718.87,5373.00,5752.77,6125.75,6642.35
205,4727.23,5365.61,5756.62,6127.03,6671.48
206,4729.87,5380.29,5753.93,6132.58,6669.04
207,4710.73,5377.97,5754.81,6139.77,6680.28
208,4730.50,5392.82,5759.60,6133.48,6673.26
209,4710.18,5392.54,5767.23,6144.33,6696.70
210,4721.40,5385.73,5774.18,6148.48,6696.25
211,4736.01,5403.63,5780.27,6151.65,6694.96
212,4714.65,5411.49,5772.28,6145.60,6677.35
213,4701.37,5402.23,5775.73,6164.76,6705.85
214,4710.32,5408.26,5785.31,6177.60,6700.59
215,4741.37,5401.04,5792.51,6175.36,6704.14
216,4735.52,5394.06,5803.91,6183.27,6735.70
217,4737.78,5393.47,5806.93,6191.70,6744.25
218,4730.27,5392.25,5814.29,6209.46,6738.18
219,4751.90,5392.18,5805.65,6205.88,6750.24
220,4744.03,5399.15,5818.28,6215.57,6750.90
221,4763.30,5405.67,5814.17,6211.65,6757.21
222,4788.49,5422.64,5835.23,6218.20,6767.59
223,4765.00,5429.50,5840.97,6227.34,6787.24
224,4772.18,5418.54,5837.15,6236.62,6767.24
225,4774.57,5433.32,5833.99,6234.73,6781.11
226,4798.48,5430.87,5832.39,6245.55,6804.85
227,4772.72,5439.63,5830.52,6233.74,6811.61
228,4778.85,5442.43,5840.27,6235.14,6833.03
229,4770.73,5434.33,5839.93,6242.11,6837.34
230,4791.48,5439.70,5845.10,6263.55,6857.06
231,4790.05,5437.71,5844.42,6260.77,6839.56
232,4797.21,5438.91,5858.88,6271.05,6860.81
233,4815.53,5441.98,5863.60,6278.38,6839.72
234,4823.57,5448.92,5879.90,6273.19,6869.77
235,4817.24,5447.88,5876.01,6267.23,6862.49
236,4797.58,5447.14,5889.72,6275.66,6846.06
237,4820.97,5464.17,5890.82,6298.17,6867.97
238,4819.83,5467.04,5896.95,6298.83,6866.00
239,4778.17,5481.62,5887.22,6295.77,6888.64
240,4783.08,5470.93,5896.74,6315.38,6885.44
241,4798.96,5467.62,5894.32,6323.11,6881.28
242,4803.52,5489.89,5895.07,6320.88,6903.31
243,4815.15,5487.04,5890.28,6319.84,6898.35
244,4820.28,5487.29,5903.18,6338.65,6902.02
245,4809.17,5485.03,5909.53,6349.69,6909.15
246,4837.27,5484.49,5906.71,6348.38,6931.25
247,4815.79,5483.43,5906.05,6342.04,6935.41
248,4835.85,5490.00,5909.88,6355.28,6929.89
249,4815.91,5490.42,5915.63,6368.18,6953.55
250,4824.17,5509.91,5929.29,6364.72,6974.87
251,4847.04,5501.45,5943.74,6381.90,6979.26
252,4834.18,5509.79,5953.75,6377.01,6978.24
253,4820.60,5511.84,5949.37,6367.91,6951.69
254,4843.68,5523.02,5949.72,6365.94,6976.21
255,4839.44,5521.98,5947.21,6374.92,6950.68
256,4841.67,5519.59,5946.34,6361.85,6959.01
257,4838.83,5521.10,5953.77,6380.61,6950.01
258,4827.29,5532.70,5953.30,6390.51,6974.80
259,4840.97,5521.07,5960.16,6399.56,6957.12
260,4847.03,5535.19,5965.81,6392.90,6954.58
261,4864.33,5530.15,5961.14,6414.57,6962.05
262,4877.00,5541.30,5972.38,6414.47,6970.04
263,4850.09,5538.65,5978.93,6417.17,6985.82
264,4856.15,5545.86,5970.06,6422.05,6999.29
265,4847.98,5547.57,5972.97,6426.97,7007.46
266,4870.32,5545.23,5984.78,6430.98,7001.10
267,4847.26,5547.62,6000.78,6422.89,6988.40
268,4868.97,5543.98,6000.06,6423.53,6988.14
269,4882.25,5555.47,6005.98,6438.35,7009.64
270,4874.87,5551.75,6014.60,6437.17,7035.72
271,4861.36,5566.94,6004.63,6436.64,7032.15
272,4882.04,5557.81,5997.47,6455.18,7021.46
273,4904.75,5567.02,6002.88,6447.84,7038.89
274,4873.95,5547.78,6003.86,6472.84,7033.44
275,4902.69,5563.59,6011.80,6469.17,7044.11
276,4869.72,5575.02,6019.61,6487.69,7044.08
277,4873.28,5563.85,6025.16,6485.57,7057.87
278,4894.74,5563.02,6022.88,6492.62,7086.70
279,4882.36,5574.58,6033.39,6500.05,7087.21
280,4890.60,5576.59,6035.09,6498.98,7087.04
281,4900.90,5564.13,6040.01,6499.97,7093.00
282,4889.77,5571.77,6047.68,6508.35,7109.33
283,4894.90,5566.59,6058.86,6515.16,7135.55
284,4928.92,5582.66,6067.36,6535.95,7127.38
285,4930.70,5593.08,6055.39,6538.87,7142.46
286,4891.24,5588.12,6075.28,6543.03,7169.47
287,4918.86,5587.76,6077.53,6545.51,7149.07
288,4928.38,5584.06,6075.58,6546.45,7166.97
289,4904.97,5591.85,6088.75,6546.64,7148.13
290,4924.92,5592.74,6076.91,6549.95,7173.57
291,4908.27,5609.84,6097.95,6541.87,7167.12
292,4931.97,5616.06,6100.28,6541.39,7174.37
293,4920.72,5597.87,6093.17,6555.56,7179.13
294,4932.12,5609.69,6095.84,6561.44,7184.39
295,4955.74,5609.07,6100.12,6561.61,7175.70
296,4941.42,5596.36,6099.40,6547.82,7191.37
297,4921.98,5611.88,6114.11,6568.41,7216.09
298,4928.54,5593.69,6109.10,6563.11,7221.01
299,4931.32,5607.26,6115.48,6566.93,7206.48
300,4905.23,5606.97,6104.39,6559.97,7231.39
301,4935.07,5618.43,6122.42,6564.37,7218.97
302,4955.20,5626.33,6116.36,6564.83,7250.36
303,4950.75,5643.19,6132.16,6577.36,7222.08
304,4960.36,5635.11,6130.14,6597.66,7247.17
305,4964.10,5643.91,6144.69,6603.49,7226.63
306,4973.75,5644.49,6142.06,6596.45,7255.58
307,4973.89,5656.71,6139.28,6603.98,7273.17
308,4955.41,5654.71,6146.27,6609.74,7238.43
309,4972.79,5669.00,6154.11,6605.53,7269.45
310,4955.61,5671.11,6154.41,6610.50,7256.97
311,4925.83,5665.98,6170.76,6621.74,7257.19
312,4933.13,5669.30,6168.21,6604.12,7263.21
313,4932.79,5685.50,6164.92,6616.50,7269.87
314,4939.57,5682.07,6184.42,6629.82,7277.48
315,4942.14,5688.03,6186.59,6627.82,7301.35
316,4961.62,5692.82,6189.61,6638.25,7291.44
317,4947.37,5700.00,6191.88,6643.00,7304.60
318,4970.83,5711.91,6189.02,6667.03,7319.50
319,4967.07,5706.43,6194.58,6657.09,7313.04
320,4956.58,5702.47,6198.94,6670.68,7314.25
321,4971.78,5715.31,6207.34,6663.51,7326.53
322,4973.41,5718.03,6201.18,6675.70,7362.64
323,4988.12,5717.35,6223.72,6677.68,7341.01
324,5002.01,5727.15,6219.24,6681.27,7333.03
325,5010.57,5726.17,6213.85,6685.03,7353.63
326,4980.33,5727.93,6219.83,6700.00,7367.09
327,4984.35,5725.48,6224.97,6688.60,7372.90
328,4997.53,5722.56,6238.16,6696.32,7388.65
329,4966.19,5724.69,6236.44,6702.68,7398.08
330,4984.83,5732.18,6250.68,6711.86,7407.01
331,4965.74,5734.18,6236.89,6698.90,7391.20
332,4995.03,5735.49,6250.05,6710.80,7403.13
333,4992.62,5721.76,6251.04,6714.70,7392.14
334,4974.46,5733.86,6257.11,6723.81,7424.58
335,5000.35,5739.58,6257.03,6715.04,7421.26
336,4968.52,5737.48,6263.29,6726.09,7405.48
337,4978.67,5748.60,6258.00,6734.93,7423.72
338,4998.32,5771.76,6269.03,6731.12,7453.40
339,5000.60,5768.37,6281.99,6746.59,7453.42
340,4992.77,5776.64,6275.14,6748.50,7453.39
341,4983.21,5787.61,6275.03,6747.56,7457.79
342,4991.03,5797.99,6271.95,6764.48,7477.35
343,5004.53,5802.45,6280.46,6779.12,7466.33
344,5017.56,5789.97,6297.99,6774.11,7472.82
345,5015.65,5800.61,6297.61,6770.09,7446.58
346,5013.68,5798.87,6302.82,6773.35,7461.27
347,5028.52,5795.98,6297.52,6789.82,7453.61
348,5019.91,5791.18,6299.41,6791.32,7458.99
349,5003.80,5802.98,6299.38,6792.45,7476.02
350,5032.09,5808.46,6319.28,6803.36,7465.96
351,5005.63,5813.32,6318.59,6805.07,7473.52
352,4999.08,5817.03,6319.05,6807.65,7494.99
353,5004.89,5808.84,6323.07,6829.53,7498.42
354,5008.78,5804.40,6336.02,6830.96,7488.86
355,5017.39,5804.51,6331.92,6824.60,7492.27
356,4985.95,5817.71,6335.48,6816.38,7492.50
357,4996.33,5821.56,6338.12,6840.71,7512.72
358,4983.12,5832.38,6345.02,6833.77,7522.88
359,4982.64,5845.64,6353.67,6833.50,7523.35
360,5005.72,5830.09,6349.49,6831.00,7523.55
361,4981.43,5845.15,6360.04,6842.67,7521.00
362,5012.70,5859.69,6357.55,6838.89,7523.02
363,4997.89,5859.04,6368.04,6844.01,7526.14
364,5010.19,5862.36,6362.67,6837.21,7553.28
365,5017.82,5858.97,6371.37,6850.27,7572.70
366,5004.06,5875.63,6387.71,6851.77,7552.31
367,5018.77,5853.86,6381.99,6860.12,7571.94
368,5029.97,5857.63,6388.73,6861.34,7555.81
369,5041.72,5859.21,6381.28,6870.29,7579.79
370,5051.76,5855.71,6390.01,6870.36,7577.55
371,5051.34,5873.29,6390.85,6880.37,7588.09
372,5056.14,5877.49,6390.25,6879.93,7616.68
373,5015.88,5884.33,6401.95,6875.22,7610.33
374,5047.16,5878.37,6414.85,6882.55,7617.17
375,5052.65,5888.92,6423.55,6903.64,7597.01
376,5056.73,5878.98,6434.47,6906.50,7622.82
377,5058.46,5883.20,6424.07,6925.84,7639.06
378,5077.42,5893.89,6429.29,6940.87,7613.77
379,5048.28,5910.39,6428.77,6928.56,7639.88
380,5061.27,5902.37,6435.01,6932.03,7663.81
381,5043.44,5903.02,6445.78,6938.26,7645.22
382,5013.73,5910.40,6450.58,6941.41,7660.71
383,5049.63,5899.44,6449.56,6940.16,7679.13
384,5087.79,5904.51,6454.29,6945.60,7668.33
385,5091.54,5910.80,6462.88,6955.89,7699.30
386,5093.25,5909.36,6471.77,6943.58,7659.20
387,5097.91,5899.77,6482.18,6957.90,7691.83
388,5089.15,5912.16,6472.66,6964.26,7688.60
389,5096.33,5910.27,6478.28,6961.50,7689.14
390,5099.20,5922.86,6477.67,6980.01,7700.43
391,5108.20,5917.95,6481.64,6984.93,7720.70
392,5095.26,5924.30,6490.55,6986.44,7706.31
393,5129.06,5928.26,6487.93,6996.13,7720.91
394,5123.51,5934.90,6483.35,6997.75,7711.04
395,5115.90,5950.67,6496.05,7005.32,7709.09
396,5095.48,5948.80,6486.62,7004.16,7727.15
397,5091.40,5938.83,6486.34,6981.05,7732.48
398,5091.20,5946.21,6501.17,7006.31,7746.45
399,5100.68,5946.71,6507.40,6993.77,7762.00
400,5096.42,5954.32,6508.05,7006.56,7767.41
401,5111.99,5958.10,6504.40,7009.25,7798.53
402,5089.54,5982.76,6524.74,7021.95,7771.88
403,5124.45,5962.92,6525.98,7009.23,7780.86
404,5103.97,5965.57,6522.27,7016.85,7772.63
405,5123.95,5966.37,6533.75,7014.19,7795.38
406,5130.28,5952.77,6525.37,7036.57,7811.05
407,5134.02,5961.59,6536.84,7038.67,7807.65
408,5129.68,5980.21,6541.39,7043.75,7819.54
409,5126.30,5978.39,6549.55,7052.13,7834.99
410,5105.87,5980.69,6563.26,7054.62,7846.09
411,5137.12,5979.19,6552.64,7049.96,7857.65
412,5161.41,5985.29,6562.03,7060.42,7861.38
413,5130.21,5991.26,6560.90,7056.23,7870.65
414,5158.61,5998.03,6574.28,7064.64,7856.12
415,5142.89,5990.96,6577.60,7069.02,7855.84
416,5140.83,6009.52,6575.83,7077.91,7841.99
417,5173.53,6009.50,6571.00,7081.82,7878.37
418,5172.07,6011.67,6570.41,7086.66,7904.57
419,5173.68,6027.98,6596.28,7097.91,7891.16
420,5180.40,6017.04,6591.28,7089.40,7896.47
421,5151.42,6022.36,6595.85,7090.88,7886.70
422,5152.31,6042.62,6615.99,7088.80,7888.24
423,5161.81,6049.86,6609.09,7097.39,7884.23
424,5169.39,6047.34,6615.85,7094.47,7922.31
425,5182.82,6044.88,6618.01,7110.01,7935.78
426,5196.00,6060.02,6618.02,7104.47,7942.13
427,5194.65,6050.11,6634.35,7113.54,7937.77
428,5204.78,6052.69,6641.53,7110.25,7959.22
429,5166.13,6051.45,6637.10,7118.38,7940.35
430,5190.29,6031.49,6634.41,7121.74,7934.26
431,5207.97,6056.16,6648.02,7130.18,7972.30
432,5172.78,6034.51,6648.94,7141.88,7982.41
433,5187.97,6047.94,6637.39,7134.93,7995.08
434,5176.49,6050.20,6643.04,7142.19,8006.88
435,5186.92,6064.90,6651.15,7143.35,7993.38
436,5171.64,6063.57,6650.83,7152.51,7986.92
437,5185.01,6056.05,6658.05,7156.28,7986.81
438,5190.40,6077.37,6660.19,7162.50,7983.97
439,5209.42,6066.09,6673.97,7159.66,8006.52
440,5203.49,6058.85,6664.83,7168.25,8012.22
441,5207.55,6064.20,6683.49,7178.04,8016.99
442,5216.16,6049.00,6680.95,7182.58,8023.23
443,5207.72,6059.98,6681.81,7173.75,8037.08
444,5222.06,6074.75,6678.86,7170.21,8000.30
445,5250.21,6059.58,6682.51,7168.13,8020.96
446,5222.97,6081.83,6675.77,7183.23,8018.56
447,5213.61,6082.82,6687.79,7195.22,8015.39
448,5211.84,6080.74,6701.15,7201.81,8021.16
449,5215.85,6096.94,6689.55,7212.03,8026.50
450,5209.34,6093.10,6696.16,7220.95,8050.18
451,5208.77,6097.19,6685.72,7223.18,8059.04
452,5221.93,6093.70,6692.27,7229.90,8062.52
453,5217.20,6111.33,6688.56,7231.40,8065.14
454,5241.20,6110.48,6712.63,7234.01,8056.52
455,5246.97,6129.09,6704.42,7229.25,8079.66
456,5238.98,6128.70,6710.05,7228.13,8107.44
457,5254.18,6123.54,6703.53,7227.32,8070.60
458,5265.80,6117.80,6716.04,7242.22,8089.58
459,5257.97,6121.73,6723.66,7238.39,8070.30
460,5282.91,6119.28,6722.94,7252.81,8060.54
461,5284.17,6127.21,6733.67,7266.92,8085.30
462,5292.31,6129.29,6737.27,7258.65,8065.07
463,5283.95,6121.76,6728.14,7258.31,8070.05
464,5291.30,6120.67,6737.62,7269.52,8091.83
465,5293.70,6122.84,6735.73,7279.74,8092.05
466,5281.08,6152.43,6737.33,7263.43,8100.08
467,5280.51,6141.31,6745.51,7266.24,8087.15
468,5272.99,6159.18,6760.33,7270.84,8113.01
469,5290.95,6154.41,6751.16,7276.41,8109.92
470,5283.48,6157.66,6750.74,7292.81,8120.84
471,5258.60,6135.81,6752.46,7305.51,8132.22
472,5277.85,6153.21,6771.35,7314.57,8128.01
473,5268.52,6144.07,6777.25,7300.90,8143.25
474,5278.41,6149.22,6794.85,7298.70,8149.55
475,5298.52,6146.44,6776.22,7305.03,8142.26
476,5286.53,6146.65,6784.88,7316.87,8163.02
477,5325.38,6157.41,6777.48,7329.25,8157.06
478,5335.17,6174.09,6795.00,7319.45,8162.14
479,5323.24,6154.33,6804.48,7322.90,8172.19
480,5332.76,6165.51,6791.58,7329.20,8160.81
481,5301.86,6181.69,6814.96,7319.77,8162.15
482,5279.75,6173.62,6821.46,7316.51,8168.50
483,5297.98,6198.65,6823.72,7341.91,8181.93
484,5295.77,6186.36,6839.86,7350.77,8196.38
485,5310.63,6199.19,6827.62,7341.95,8172.68
486,5297.66,6196.48,6815.24,7348.77,8182.93
487,5306.54,6194.90,6831.46,7340.43,8199.93
488,5333.20,6194.82,6843.50,7345.16,8206.34
489,5313.56,6194.16,6845.00,7345.53,8187.27
490,5332.37,6186.29,6842.00,7352.80,8186.17
491,5342.22,6196.60,6854.32,7375.87,8197.18
492,5356.60,6202.57,6849.78,7379.10,8184.79
493,5327.20,6204.63,6854.48,7386.72,8202.14
494,5346.29,6231.09,6847.75,7408.69,8209.87
495,5336.90,6222.23,6852.59,7397.01,8206.99
496,5343.33,6217.53,6852.46,7411.20,8197.87
497,5347.22,6241.77,6869.23,7393.77,8217.91
498,5342.32,6228.84,6878.22,7415.46,8216.77
499,5331.74,6238.57,6876.35,7423.02,8211.94
500,5360.36,6231.19,6868.04,7430.15,8238.96
501,5375.74,6252.67,6875.93,7427.89,8248.24
502,5361.30,6239.47,6875.70,7442.70,8239.12
503,5388.57,6254.05,6872.46,7442.94,8268.61
504,5405.06,6242.64,6872.29,7428.45,8270.11
505,5406.88,6257.21,6868.56,7443.57,8266.17
506,5397.53,6262.88,6873.25,7443.35,8283.50
507,5405.18,6256.75,6866.84,7455.64,8275.52
